Room,Box,Arduino,Behavior,PosTrack,Camera,NIDevAnalog,ChAnalog,VoltRange,NIDevDigital,ChDigital,RewardMsPulse,RewardNumPulse,Notes
423,0,10,1,1,Full HD 1080p Web Camera,2,0 1 2,,1,0 1 2 3,,,Test
110,1,11,1,1,Full HD 1080p Web Camera,2,3 4 5,,1,4 5 6 7,,,
